UserID,UserName,Age,Gender,Email,TransactionID,CourseID,TransactionDate,Amount,PaymentMethod,TeacherID,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating
U00001,wilsonjordan,15,Male,patricia27@hotmail.com,TT02675,CR00034,2025-11-02,394.26,PayPal,TC00031,Data Encryption,Cybersecurity,Paid,Intermediate,394.26,47.44,1.35
U00002,angela22,29,Female,hallrandy@hotmail.com,TT02676,CR00004,2025-07-15,0.0,PayPal,TC00009,Advanced Python,Programming,Free,Beginner,0.0,45.13,2.88
U00003,morrisonamanda,33,Female,ganderson@yahoo.com,TT00001,CR00016,2025-10-25,0.0,PayPal,TC00040,Digital Marketing,Marketing,Free,Intermediate,0.0,42.68,4.72
U00003,morrisonamanda,33,Female,ganderson@yahoo.com,TT00002,CR00037,2025-01-13,0.0,PayPal,TC00040,Scrum Essentials,Project Management,Free,Intermediate,0.0,33.93,3.45
U00003,morrisonamanda,33,Female,ganderson@yahoo.com,TT00003,CR00019,2025-03-28,0.0,Bank Transfer,TC00040,Content Marketing,Marketing,Free,Advanced,0.0,18.0,2.98
U00003,morrisonamanda,33,Female,ganderson@yahoo.com,TT05689,CR00017,2025-03-05,0.0,PayPal,TC00040,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79
U00003,morrisonamanda,33,Female,ganderson@yahoo.com,TT06120,CR00058,2025-03-02,0.0,Bank Transfer,TC00040,Social Media Strategy,Digital Marketing,Free,Beginner,0.0,1.46,4.44
U00003,morrisonamanda,33,Female,ganderson@yahoo.com,TT06540,CR00042,2025-08-24,0.0,Bank Transfer,TC00040,Investment Strategies,Finance,Free,Intermediate,0.0,34.83,4.1
U00003,morrisonamanda,33,Female,ganderson@yahoo.com,TT06956,CR00018,2025-11-16,0.0,Bank Transfer,TC00040,Social Media Marketing,Marketing,Free,Advanced,0.0,15.44,2.01
U00003,morrisonamanda,33,Female,ganderson@yahoo.com,TT07747,CR00005,2025-04-14,0.0,Credit Card,TC00042,Full Stack Development,Programming,Free,Beginner,0.0,28.68,1.28
U00003,morrisonamanda,33,Female,ganderson@yahoo.com,TT08128,CR00051,2025-03-20,37.89,Bank Transfer,TC00040,HTML & CSS,Web Development,Paid,Advanced,37.89,24.11,1.3
U00003,morrisonamanda,33,Female,ganderson@yahoo.com,TT08898,CR00046,2025-11-04,248.1,Credit Card,TC00040,AI for Beginners,Artificial Intelligence,Paid,Beginner,248.1,9.4,1.2
U00003,morrisonamanda,33,Female,ganderson@yahoo.com,TT09644,CR00040,2025-05-07,327.99,Bank Transfer,TC00042,Leadership in Projects,Project Management,Paid,Beginner,327.99,12.13,1.51
U00004,fthornton,23,Female,christensencatherine@outlook.com,TT00004,CR00048,2025-06-02,0.0,Bank Transfer,TC00040,AI Ethics,Artificial Intelligence,Free,Beginner,0.0,42.7,3.64
U00004,fthornton,23,Female,christensencatherine@outlook.com,TT00005,CR00060,2025-08-10,0.0,PayPal,TC00042,Content Creation,Digital Marketing,Free,Beginner,0.0,8.95,2.14
